,id,anneeMagistrature,magistrature,occurence,prenom,nom,surnom,genName,titres_roles,corps civique,corporation,poele,page,colonne,ligne
1,aves_aa_4R_1438_0001,1438,stettmeister,her Arbogast von Kageneck ritter,arbogast,"kageneck, von",,,"['her', 'ritter']",constoffeler,,,169,1,1
2,aves_aa_4R_1438_0002,1438,stettmeister,"her Hanns von Mùlnheim, her                         Heinrichs seligen sun",johanns,"müllenheim, von",,,['her'],constoffeler,,,169,1,2
3,aves_aa_4R_1438_0003,1438,stettmeister,her Cuͦne zuͦm Trùbel XIII,kühne,"trübel, zum",,,"['her', 'XIII']",constoffeler,,,169,1,4
4,aves_aa_4R_1438_0004,1438,stettmeister,her Hanns Humbreht,johanns,humbrecht,,,['her'],constoffeler,,,169,1,5
5,aves_aa_4R_1438_0005,1438,ammeister,her Obreht Schalck der ammeister,obrecht,schalk,,,"['her', 'ammeister']",echevinat,,,169,1,6
6,aves_aa_4R_1438_0006,1438,conseiller_des_constaffel,her Burckart von Mùlnheim ritter,burkhart,"müllenheim, von",,,"['her', 'ritter']",constoffeler,,,169,1,7
7,aves_aa_4R_1438_0007,1438,conseiller_des_constaffel,her Walther Spiegel,walther,spiegel,,,['her'],constoffeler,,,169,1,8
8,aves_aa_4R_1438_0008,1438,conseiller_des_constaffel,her Wolffhelm Bock XIII,wolffhelm,bock,,,"['her', 'XIII']",constoffeler,,,169,1,9
9,aves_aa_4R_1438_0009,1438,conseiller_des_constaffel,her Hesseman Hesse,hessemann,hesse,,,['her'],constoffeler,,,169,1,10
10,aves_aa_4R_1438_0010,1438,conseiller_des_constaffel,her Ludwig von Rosheim,ludwig,"rosheim, von",,,['her'],constoffeler,,,169,1,11
11,aves_aa_4R_1438_0011,1438,conseiller_des_constaffel,Behtolt Zorn genant Schultheis,bechtolt,zorn,schultheiss,,,constoffeler,,,169,1,12
12,aves_aa_4R_1438_0012,1438,conseiller_des_constaffel,Conrat Bock,konrat,bock,,,,constoffeler,,,169,1,13
13,aves_aa_4R_1438_0013,1438,conseiller_des_constaffel,Sỳmont Cloͤblouch,symont,klobelouch,,,,constoffeler,,,169,1,14
14,aves_aa_4R_1438_0014,1438,conseiller_des_constaffel,Hanns Rotemburg,johanns,rotemburg,,,,constoffeler,,,169,1,15
15,aves_aa_4R_1438_0015,1438,conseiller_des_constaffel,Jacob Buman,jacob,bauman,,,,constoffeler,,,169,1,16
16,aves_aa_4R_1438_0016,1438,conseiller_des_marchands,her Adam Riffe,adam,riffe,,,['her'],echevinat,corporation_des_marchands,,169,1,17
