,id,anneeMagistrature,magistrature,occurence,prenom,nom,surnom,genName,titres_roles,corps civique,corporation,poele,page,colonne,ligne
1,aves_aa_4R_1464_0001,1464,stettmeister,her Behtolt Zorn zuͦm Riet,bechtolt,zorn,"riet, zum",,['her'],constoffeler,,,195,1,1
2,aves_aa_4R_1464_0002,1464,stettmeister,her Ludwig von Mùlnheim ritter,ludwig,"müllenheim, von",,,"['her', 'ritter']",constoffeler,,,195,1,2
3,aves_aa_4R_1464_0003,1464,stettmeister,her Philips von Mùlnheim ritter,philipp,"müllenheim, von",,,"['her', 'ritter']",constoffeler,,,195,1,3
4,aves_aa_4R_1464_0004,1464,stettmeister,her Hannßconrat Bock,johanns-konrat,bock,,,['her'],constoffeler,,,195,1,4
5,aves_aa_4R_1464_0005,1464,ammeister,her Hanns Trachenfeils der                         ammeister,johanns,trachenfeils,,,"['her', 'ammeister']",echevinat,,,195,1,5
6,aves_aa_4R_1464_0006,1464,conseiller_des_constaffel,her Dietrich Burggraf,dietrich,burggraf,,,['her'],constoffeler,,,195,1,6
7,aves_aa_4R_1464_0007,1464,conseiller_des_constaffel,her Cuͦne Nope,kühne,nope,,,['her'],constoffeler,,,195,1,7
8,aves_aa_4R_1464_0008,1464,conseiller_des_constaffel,Jacob Lentzel,jacob,lentzelin,,,,constoffeler,,,195,1,8
9,aves_aa_4R_1464_0009,1464,conseiller_des_constaffel,Hanns Sturm,johanns,sturm,,,,constoffeler,,,195,1,9
10,aves_aa_4R_1464_0010,1464,conseiller_des_constaffel,Steffan Sturm,stefan,sturm,,,,constoffeler,,,195,1,10
11,aves_aa_4R_1464_0011,1464,conseiller_des_constaffel,Thoman Bùhssener,thoman,büchsener,,,,constoffeler,,,195,1,11
12,aves_aa_4R_1464_0012,1464,conseiller_des_constaffel,Peter Rebstock,peter,rebestock,,,,constoffeler,,,195,1,12
13,aves_aa_4R_1464_0013,1464,conseiller_des_constaffel,Bernhart Bock,bernhart,bock,,,,constoffeler,,,195,1,13
14,aves_aa_4R_1464_0014,1464,conseiller_des_constaffel,Ludwig Wolff,ludwig,wolff,,,,constoffeler,,,195,1,14
15,aves_aa_4R_1464_0015,1464,conseiller_des_marchands,her Jacob Wurmsser,jacob,wormser,,,['her'],echevinat,corporation_des_marchands,,195,1,15
16,aves_aa_4R_1464_0016,1464,conseiller_des_boulangers,Walther Dùrre,walther,dürr,,,,echevinat,corporation_des_boulangers,,195,1,16
17,aves_aa_4R_1464_0017,1464,conseiller_des_bouchers,her Wilhelm Betscholt altammeister,wilhelm,bechtolt,,,"['her', 'altammeister']",echevinat,corporation_des_bouchers,,195,1,17
18,aves_aa_4R_1464_0018,1464,conseiller_des_tonneliers,Andres Selig,andres,seelig,,,,echevinat,corporation_des_tonneliers,,195,1,18
19,aves_aa_4R_1464_0019,1464,conseiller_des_drapiers,Steffan Wynngersheim,stefan,wingersheim,,,,echevinat,corporation_des_drapiers,,195,1,19
20,aves_aa_4R_1464_0020,1464,conseiller_des_tanneurs,Diebolt Reimbolt,diebolt,reimbolt,,,,echevinat,corporation_des_tanneurs,,195,1,20
21,aves_aa_4R_1464_0021,1464,conseiller_des_cabaretiers,Adam Mesener,adam,messner,,,,echevinat,corporation_des_cabaretiers,,195,1,21
22,aves_aa_4R_1464_0022,1464,conseiller_des_maçons,Hanns Kachler,johanns,kacheler,,,,echevinat,corporation_des_maçons,,195,1,22
23,aves_aa_4R_1464_0023,1464,conseiller_des_forgerons,Claus Knyebis,claus,kniebes,,,,echevinat,corporation_des_forgerons,,195,1,23
24,aves_aa_4R_1464_0024,1464,conseiller_des_tailleurs,Hanns Croßwilre,johanns,krosswiller,,,,echevinat,corporation_des_tailleurs,,195,1,24
25,aves_aa_4R_1464_0025,1464,conseiller_des_bateliers,her Hanns Lumbart altammeister,johanns,lumbart,,,"['her', 'altammeister']",echevinat,corporation_des_bateliers,,195,1,25
26,aves_aa_4R_1464_0026,1464,conseiller_des_pelletiers,Walther Vogt,walther,vogt,,,,echevinat,corporation_des_pelletiers,,195,1,26
27,aves_aa_4R_1464_0027,1464,conseiller_des_charpentiers,Claus Boͤsche,claus,bösch,,,,echevinat,corporation_des_charpentiers,,195,1,27
28,aves_aa_4R_1464_0028,1464,conseiller_des_crieurs_et_mesureurs_de_vin,Adam Wipolt,adam,weipolt,,,,echevinat,corporation_des_crieurs_et_mesureurs_de_vin,,195,1,28
