Source,Target,nature_lien,label
aves_aa_4R_auth_0001,1400,ammeister,"metziger, wilhelm"
aves_aa_4R_auth_0001,1402,conseiller_des_bouchers,"metziger, wilhelm"
aves_aa_4R_auth_0001,1404,ammeister,"metziger, wilhelm"
aves_aa_4R_auth_0001,1406,ammeister,"metziger, wilhelm"
aves_aa_4R_auth_0001,1408,conseiller_des_bouchers,"metziger, wilhelm"
aves_aa_4R_auth_0001,1410,conseiller_des_bouchers,"metziger, wilhelm"
aves_aa_4R_auth_0002,1400,conseiller_des_marchands,"colmar, von, hannemann"
aves_aa_4R_auth_0003,1400,conseiller_des_boulangers,"gerung, "
aves_aa_4R_auth_0004,1400,conseiller_des_bouchers,"rotschilt, wilhelm"
aves_aa_4R_auth_0004,1425,conseiller_des_bouchers,"rotschilt, wilhelm"
aves_aa_4R_auth_0005,1400,conseiller_des_drapiers,"spielmann, claus"
aves_aa_4R_auth_0005,1406,conseiller_des_drapiers,"spielmann, claus"
aves_aa_4R_auth_0005,1410,conseiller_des_drapiers,"spielmann, claus"
aves_aa_4R_auth_0005,1418,conseiller_des_drapiers,"spielmann, claus"
aves_aa_4R_auth_0005,1422,conseiller_des_drapiers,"spielmann, claus"
aves_aa_4R_auth_0006,1400,conseiller_des_tonneliers,"schott, claus"
aves_aa_4R_auth_0007,1400,conseiller_des_tanneurs,"issenhausen, ulrich"
aves_aa_4R_auth_0007,1404,conseiller_des_tanneurs,"issenhausen, ulrich"
aves_aa_4R_auth_0007,1415,conseiller_des_tanneurs,"issenhausen, ulrich"
aves_aa_4R_auth_0007,1419,conseiller_des_tanneurs,"issenhausen, ulrich"
aves_aa_4R_auth_0008,1400,conseiller_des_cabaretiers,", sigel"
aves_aa_4R_auth_0009,1400,conseiller_des_maçons,"kindelin, erhart"
aves_aa_4R_auth_0009,1404,conseiller_des_maçons,"kindelin, erhart"
aves_aa_4R_auth_0009,1421,conseiller_des_maçons,"kindelin, erhart"
aves_aa_4R_auth_0010,1400,conseiller_des_forgerons,", andres"
aves_aa_4R_auth_0011,1400,conseiller_des_tailleurs,"gumbrecht, von, diebolt"
aves_aa_4R_auth_0012,1400,conseiller_des_bateliers,"boppe, küntz"
aves_aa_4R_auth_0013,1400,conseiller_des_charpentiers,"tummeler, dietrich"
aves_aa_4R_auth_0014,1400,conseiller_des_pelletiers,"westermann, johanns"
aves_aa_4R_auth_0014,1402,conseiller_des_pelletiers,"westermann, johanns"
aves_aa_4R_auth_0015,1400,conseiller_des_crieurs_et_mesureurs_de_vin,"heischer, lienhart"
aves_aa_4R_auth_0015,1402,conseiller_des_crieurs_et_mesureurs_de_vin,"heischer, lienhart"
aves_aa_4R_auth_0015,1404,conseiller_des_crieurs_et_mesureurs_de_vin,"heischer, lienhart"
aves_aa_4R_auth_0016,1400,conseiller_des_cordonniers,"laubeck, johanns"
aves_aa_4R_auth_0016,1405,conseiller_des_cordonniers,"laubeck, johanns"
aves_aa_4R_auth_0016,1408,conseiller_des_cordonniers,"laubeck, johanns"
aves_aa_4R_auth_0016,1411,conseiller_des_cordonniers,"laubeck, johanns"
aves_aa_4R_auth_0017,1400,conseiller_des_orfevres,"honau, peter"
aves_aa_4R_auth_0017,1404,conseiller_des_orfevres,"honau, peter"
aves_aa_4R_auth_0017,1408,conseiller_des_orfevres,"honau, peter"
aves_aa_4R_auth_0018,1400,conseiller_des_marchands_de_grains,"hühnerer, ulrich"
aves_aa_4R_auth_0018,1406,conseiller_des_marchands_de_grains,"hühnerer, ulrich"
aves_aa_4R_auth_0019,1400,conseiller_des_jardiniers,"nattener, andres"
aves_aa_4R_auth_0019,1404,conseiller_des_jardiniers,"nattener, andres"
aves_aa_4R_auth_0019,1408,conseiller_des_jardiniers,"nattener, andres"
aves_aa_4R_auth_0019,1413,conseiller_des_jardiniers,"nattener, andres"
aves_aa_4R_auth_0019,1417,conseiller_des_jardiniers,"nattener, andres"
aves_aa_4R_auth_0020,1400,conseiller_des_pêcheurs,"schwicker, johanns"
aves_aa_4R_auth_0020,1404,conseiller_des_pêcheurs,"schwicker, johanns"
aves_aa_4R_auth_0021,1400,conseiller_des_barbiers_et_baigneurs,"aler, heintz"
aves_aa_4R_auth_0022,1400,conseiller_des_sauniers,"gosse, ulrich"
aves_aa_4R_auth_0022,1402,ammeister,"gosse, ulrich"
aves_aa_4R_auth_0022,1404,conseiller_des_sauniers,"gosse, ulrich"
aves_aa_4R_auth_0022,1406,conseiller_des_sauniers,"gosse, ulrich"
aves_aa_4R_auth_0022,1408,ammeister,"gosse, ulrich"
aves_aa_4R_auth_0022,1410,conseiller_des_sauniers,"gosse, ulrich"
aves_aa_4R_auth_0022,1412,conseiller_des_sauniers,"gosse, ulrich"
aves_aa_4R_auth_0022,1414,conseiller_des_sauniers,"gosse, ulrich"
aves_aa_4R_auth_0022,1416,conseiller_des_sauniers,"gosse, ulrich"
aves_aa_4R_auth_0022,1418,ammeister,"gosse, ulrich"
aves_aa_4R_auth_0022,1420,conseiller_des_sauniers,"gosse, ulrich"
aves_aa_4R_auth_0023,1400,conseiller_des_tisserands,"ingenheim, von, claus"
aves_aa_4R_auth_0023,1402,conseiller_des_tisserands,"ingenheim, von, claus"
aves_aa_4R_auth_0023,1413,conseiller_des_tisserands,"ingenheim, von, claus"
aves_aa_4R_auth_0023,1416,conseiller_des_tisserands,"ingenheim, von, claus"
aves_aa_4R_auth_0024,1400,conseiller_des_gourmets_et_courtiers,"diether, johanns"
aves_aa_4R_auth_0024,1405,conseiller_des_gourmets_et_courtiers,"diether, johanns"
aves_aa_4R_auth_0024,1414,conseiller_des_gourmets_et_courtiers,"diether, johanns"
aves_aa_4R_auth_0024,1424,conseiller_des_gourmets_et_courtiers,"diether, johanns"
aves_aa_4R_auth_0025,1400,conseiller_des_charrons,"dingsheim, claus"
aves_aa_4R_auth_0025,1403,conseiller_des_charrons,"dingsheim, claus"
aves_aa_4R_auth_0025,1405,conseiller_des_charrons,"dingsheim, claus"
aves_aa_4R_auth_0025,1413,conseiller_des_charrons,"dingsheim, claus"
aves_aa_4R_auth_0026,1400,conseiller_des_regrattiers_cordiers_et_fruitiers,"hagenau, von, peter"
aves_aa_4R_auth_0026,1406,conseiller_des_regrattiers_cordiers_et_fruitiers,"hagenau, von, peter"
aves_aa_4R_auth_0027,1400,conseiller_des_coltineurs_de_tonneaux,"stachel, küntz"
aves_aa_4R_auth_0027,1403,conseiller_des_coltineurs_de_tonneaux,"stachel, küntz"
aves_aa_4R_auth_0027,1405,conseiller_des_coltineurs_de_tonneaux,"stachel, küntz"
aves_aa_4R_auth_0027,1410,conseiller_des_coltineurs_de_tonneaux,"stachel, küntz"
aves_aa_4R_auth_0027,1414,conseiller_des_coltineurs_de_tonneaux,"stachel, küntz"
aves_aa_4R_auth_0028,1400,conseiller_des_constructeurs_de_bateaux,"klige, hug"
aves_aa_4R_auth_0028,1405,conseiller_des_constructeurs_de_bateaux,"klige, hug"
aves_aa_4R_auth_0028,1409,conseiller_des_constructeurs_de_bateaux,"klige, hug"
aves_aa_4R_auth_0028,1413,conseiller_des_constructeurs_de_bateaux,"klige, hug"
aves_aa_4R_auth_0028,1415,conseiller_des_constructeurs_de_bateaux,"klige, hug"
aves_aa_4R_auth_0028,1420,conseiller_des_constructeurs_de_bateaux,"klige, hug"
aves_aa_4R_auth_0028,1426,conseiller_des_constructeurs_de_bateaux,"klige, hug"
aves_aa_4R_auth_0028,1428,conseiller_des_constructeurs_de_bateaux,"klige, hug"
aves_aa_4R_auth_0028,1430,conseiller_des_constructeurs_de_bateaux,"klige, hug"
aves_aa_4R_auth_0028,1435,conseiller_des_constructeurs_de_bateaux,"klige, hug"
aves_aa_4R_auth_0029,1400,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"rhinau, walther"
aves_aa_4R_auth_0029,1402,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"rhinau, walther"
aves_aa_4R_auth_0029,1404,conseiller_des_huiliers_meuniers_et_tondeurs_de_draps,"rhinau, walther"
aves_aa_4R_auth_0030,1401,ammeister,"sünner, peter"
aves_aa_4R_auth_0030,1403,conseiller_des_bateliers,"sünner, peter"
aves_aa_4R_auth_0030,1405,conseiller_des_bateliers,"sünner, peter"
aves_aa_4R_auth_0030,1409,conseiller_des_bateliers,"sünner, peter"
aves_aa_4R_auth_0030,1411,conseiller_des_bateliers,"sünner, peter"
